YOB,Born,Alive
1900,6,0
1901,7,0
1902,16,0
1903,0,0
1904,11,0
1905,10,0
1906,11,0
1907,13,0
1908,14,0
1909,28,0
1910,21,0
1911,58,0
1912,94,0
1913,122,0
1914,151,0
1915,198,1
1916,222,1
1917,246,1
1918,273,2
1919,211,1
1920,277,2
1921,304,7
1922,299,11
1923,271,14
1924,287,19
1925,316,26
1926,304,29
1927,276,31
1928,233,29
1929,250,35
1930,203,32
1931,212,40
1932,166,37
1933,146,37
1934,140,40
1935,143,45
1936,142,49
1937,134,51
1938,111,46
1939,136,60
1940,110,52
1941,136,68
1942,131,69
1943,119,65
1944,93,53
1945,93,55
1946,104,65
1947,140,90
1948,149,100
1949,124,86
1950,118,85
1951,127,93
1952,136,101
1953,157,119
1954,142,109
1955,144,112
1956,141,112
1957,140,113
1958,150,123
1959,132,110
1960,159,134
1961,149,127
1962,159,136
1963,153,132
1964,161,140
1965,122,107
1966,124,110
1967,117,104
1968,119,107
1969,132,119
1970,124,113
1971,135,124
1972,122,112
1973,120,111
1974,106,98
1975,118,110
1976,109,102
1977,90,85
1978,103,97
1979,121,115
1980,112,107
1981,116,111
1982,104,99
1983,93,89
1984,78,75
1985,91,88
1986,86,83
1987,84,81
1988,93,90
1989,94,91
1990,59,57
1991,90,88
1992,87,85
1993,87,85
1994,61,60
1995,69,68
1996,60,59
1997,79,78
1998,66,65
1999,63,62
2000,67,66
2001,73,72
2002,78,77
2003,75,74
2004,86,85
2005,71,70
2006,68,67
2007,73,72
2008,82,81
2009,61,61
2010,67,67
2011,75,75
2012,76,76
2013,80,80
2014,65,65
2015,94,94
2016,98,98
2017,97,97
