YOB,Born,Alive
1900,6,0
1901,8,0
1902,5,0
1903,7,0
1904,6,0
1905,7,0
1906,8,0
1907,6,0
1908,7,0
1909,9,0
1910,12,0
1911,15,0
1912,22,0
1913,34,0
1914,48,0
1915,74,0
1916,79,0
1917,77,0
1918,64,0
1919,66,0
1920,71,1
1921,60,1
1922,53,2
1923,70,4
1924,60,4
1925,63,5
1926,83,8
1927,82,9
1928,80,10
1929,74,10
1930,93,15
1931,77,14
1932,74,16
1933,64,16
1934,45,13
1935,66,21
1936,46,16
1937,64,24
1938,51,21
1939,39,17
1940,51,24
1941,34,17
1942,44,23
1943,41,22
1944,25,14
1945,25,15
1946,23,14
1947,30,19
1948,22,15
1949,19,13
1950,24,17
1951,26,19
1952,22,16
1953,40,30
1954,26,20
1955,40,31
1956,37,29
1957,35,28
1958,46,38
1959,36,30
1960,52,44
1961,40,34
1962,28,24
1963,34,29
1964,43,37
1965,44,39
1966,26,23
1967,31,28
1968,26,23
1969,32,29
1970,18,16
1971,15,14
1972,12,11
1973,14,13
1974,15,14
1975,7,7
1976,9,8
1977,9,8
1978,10,9
1979,6,6
1980,14,13
1981,7,7
1982,0,0
1983,8,8
1984,9,9
1985,12,12
1986,10,10
1987,5,5
1988,0,0
1989,7,7
1990,10,10
1991,15,15
1992,12,12
1993,7,7
1994,11,11
1995,13,13
1996,6,6
1997,7,7
1998,8,8
1999,7,7
2000,9,9
2001,19,19
2002,11,11
2003,9,9
2004,5,5
2005,6,6
2006,7,7
2007,15,15
2008,9,9
2009,8,8
2010,6,6
2011,11,11
2012,10,10
2013,9,9
2014,8,8
2015,10,10
2016,14,14
2017,11,11
