YOB,Born,Alive
1900,5,0
1901,0,0
1902,0,0
1903,7,0
1904,0,0
1905,5,0
1906,5,0
1907,0,0
1908,0,0
1909,6,0
1910,0,0
1911,7,0
1912,10,0
1913,18,0
1914,15,0
1915,22,0
1916,27,0
1917,28,0
1918,47,0
1919,31,0
1920,40,0
1921,34,0
1922,34,1
1923,29,1
1924,33,1
1925,32,1
1926,32,2
1927,25,2
1928,27,2
1929,31,3
1930,21,2
1931,24,3
1932,24,4
1933,23,4
1934,16,3
1935,22,5
1936,22,6
1937,18,5
1938,15,5
1939,16,6
1940,17,7
1941,8,3
1942,23,10
1943,20,10
1944,10,5
1945,15,8
1946,9,5
1947,10,6
1948,11,7
1949,8,5
1950,13,9
1951,11,8
1952,10,7
1953,11,8
1954,11,8
1955,14,10
1956,14,11
1957,8,6
1958,13,10
1959,14,11
1960,8,7
1961,12,10
1962,15,13
1963,9,8
1964,7,6
1965,7,6
1966,5,4
1967,9,8
1968,0,0
1969,0,0
1970,0,0
1971,8,7
1972,5,5
1973,9,8
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,6,6
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
